Entity,Year,Share in extreme poverty,Share not in extreme poverty
Italy,1820,75.0,25.0
Italy,1830,75.0,25.0
Italy,1840,74.0,26.0
Italy,1850,75.0,25.0
Italy,1860,75.0,25.0
Italy,1870,76.0,24.0
Italy,1880,77.0,23.0
Italy,1890,74.0,26.0
Italy,1900,72.0,28.0
Italy,1910,65.0,35.0
Italy,1920,45.0,55.0
Italy,1930,47.0,53.0
Italy,1940,40.0,60.0
Italy,1950,37.0,63.0
Italy,1960,20.0,80.0
Italy,1970,3.0,97.0
Italy,1980,0.0,100.0
Italy,1990,0.0,100.0
Italy,2000,0.0,100.0
Italy,2010,2.0,98.0
Italy,2018,3.0,97.0
