Entity,Year,Biofuels (TWh),Hydro (TWh – sub method),Nuclear (TWh – sub method),Renewables (TWh – sub method),Solar (TWh – sub method),Wind (TWh – sub method),Other renewables (TWh – sub method),Low-carbon energy (TWh – sub method),Low-carbon energy (TWh),Fossil Fuels (TWh),Primary energy (TWh),Primary energy – direct (TWh),Coal (% primary direct energy),Gas (% primary direct energy),Oil (% primary direct energy),Biofuels (% primary direct energy),Nuclear (% primary direct energy),Hydro (% primary direct energy),Renewables (% primary direct energy),Solar (% primary direct energy),Wind (% primary direct energy),Other renewables (% primary direct energy),Fossil Fuels (% primary direct energy),Low-carbon energy (% primary direct energy),Coal (% sub energy),Gas (% sub energy),Oil (% sub energy),Biofuels (% sub energy),Nuclear (% sub energy),Hydro (% sub energy),Renewables (% sub energy),Solar (% sub energy),Wind (% sub energy),Other renewables (% sub energy),Fossil Fuels (% sub energy),Low-carbon energy (% sub energy),Coal (% growth),Coal (TWh growth – sub method),Oil (% growth),Oil (TWh growth – sub method),Gas (% growth),Gas (TWh growth – sub method),Biofuels (% growth),Biofuels (TWh growth – sub method),Fossil Fuels (% growth),Fossil Fuels (TWh growth – sub method),Hydro (% growth),Hydro (TWh growth – sub method),Nuclear (% growth),Nuclear (TWh growth – sub method),Renewables (% growth),Renewables (TWh growth – sub method),Solar (% growth),Solar (TWh growth – sub method),Wind (% growth),Wind (TWh growth – sub method),Other renewables (% growth),Other renewables (TWh growth – sub method),Low-carbon energy (% growth),Low-carbon energy (TWh growth – sub method),Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Biofuels per capita (kWh),Fossil Fuels per capita (kWh),Hydro per capita (kWh),Nuclear per capita (kWh),Renewables per capita (kWh),Solar per capita (kWh),Wind per capita (kWh),Other renewables per capita (kWh),Low-carbon energy per capita (kWh)
Italy,1965,,118.428,9.75,125.861,0.0,0.0,7.433,135.611,48.82,784.806,920.418,833.626,12.034,8.847,73.263,,0.421,5.114,5.435,0.0,0.0,0.321,94.144,5.856,10.899,8.012,66.355,,1.059,12.867,13.674,0.0,0.0,0.808,85.266,14.734,,,,,,,,,,,,,,,,,,,,,,,,,1941.289,11818.33,1427.07,,15186.689,2291.683,188.671,2435.525,0.0,0.0,143.842,2624.196
Italy,1966,,121.445,10.731,130.753,0.0,0.0,9.308,141.483,50.934,858.301,999.784,909.235,11.476,8.856,74.066,,0.425,4.808,5.177,0.0,0.0,0.369,94.398,5.602,10.437,8.054,67.358,,1.073,12.147,13.078,0.0,0.0,0.931,85.849,14.151,4.011,4.024,10.266,62.696,9.186,6.774,,,9.365,73.495,2.547,3.017,10.057,0.981,3.887,4.892,,0.0,,0.0,25.224,1.875,4.33,5.872,2004.205,12935.068,1546.62,,16485.893,2332.657,206.108,2511.448,0.0,0.0,178.791,2717.556
Italy,1967,,117.611,8.756,127.264,0.0,0.0,9.653,136.02,48.967,947.665,1083.685,996.632,11.473,8.825,74.788,,0.316,4.248,4.597,0.0,0.0,0.349,95.087,4.913,10.552,8.116,68.781,,0.808,10.853,11.744,0.0,0.0,0.891,87.448,12.552,9.585,10.002,10.681,71.93,9.23,7.432,,,10.412,89.364,-3.156,-3.833,-18.405,-1.975,-2.668,-3.489,,0.0,,0.0,3.7,0.344,-3.862,-5.464,2180.787,14215.451,1677.427,,18073.665,2243.056,166.984,2427.152,0.0,0.0,184.096,2594.136
Italy,1968,,118.547,7.156,128.595,0.0,0.0,10.047,135.75,48.87,1035.89,1171.64,1084.76,10.209,9.522,75.764,,0.237,3.934,4.268,0.0,0.0,0.333,95.495,4.505,9.452,8.816,70.146,,0.611,10.118,10.976,0.0,0.0,0.858,88.414,11.586,-3.153,-3.605,10.262,76.49,17.441,15.34,,,9.31,88.224,0.796,0.936,-18.274,-1.6,1.046,1.331,,0.0,,0.0,4.086,0.394,-0.198,-0.269,2097.584,15567.046,1956.52,,19621.15,2245.447,135.536,2435.755,0.0,0.0,190.308,2571.291
Italy,1969,,114.35,4.664,124.939,0.0,0.0,10.589,129.603,46.657,1132.355,1261.957,1179.012,9.641,9.619,76.782,,0.142,3.492,3.815,0.0,0.0,0.323,96.043,3.957,9.008,8.987,71.735,,0.37,9.061,9.9,0.0,0.0,0.839,89.73,10.27,2.647,2.931,10.15,83.416,9.796,10.118,,,9.312,96.465,-3.541,-4.197,-34.821,-2.492,-2.843,-3.656,,0.0,,0.0,5.391,0.542,-4.528,-6.147,2138.512,17030.914,2133.623,,21303.05,2151.275,87.742,2350.484,0.0,0.0,199.21,2438.226
Italy,1970,,112.147,8.822,123.892,0.0,0.0,11.744,132.714,47.777,1261.2,1393.914,1308.977,8.769,9.347,78.234,,0.243,3.084,3.407,0.0,0.0,0.323,96.35,3.65,8.235,8.778,73.466,,0.633,8.045,8.888,0.0,0.0,0.843,90.479,9.521,0.982,1.116,13.122,118.789,7.883,8.94,,,11.379,128.846,-1.926,-2.203,89.16,4.158,-0.838,-1.047,,0.0,,0.0,10.913,1.156,2.4,3.111,2144.813,19134.526,2286.145,,23565.484,2095.469,164.843,2314.913,0.0,0.0,219.445,2479.756
Italy,1971,,108.553,9.347,120.245,0.0,0.0,11.692,129.592,46.653,1338.661,1468.253,1385.314,8.005,9.124,79.503,,0.243,2.821,3.125,0.0,0.0,0.304,96.632,3.368,7.553,8.609,75.012,,0.637,7.393,8.19,0.0,0.0,0.796,91.174,8.826,-3.394,-3.896,7.55,77.312,3.306,4.046,,,6.142,77.461,-3.205,-3.594,5.951,0.525,-2.944,-3.647,,0.0,,0.0,-0.449,-0.053,-2.353,-3.122,2057.793,20437.825,2345.523,,24841.141,2014.383,173.454,2231.342,0.0,0.0,216.959,2404.796
Italy,1972,,114.856,10.072,125.431,0.0,0.0,10.575,135.503,48.781,1404.392,1539.895,1453.173,7.101,9.974,79.567,,0.25,2.845,3.107,0.0,0.0,0.262,96.643,3.357,6.701,9.413,75.086,,0.654,7.459,8.145,0.0,0.0,0.687,91.201,8.799,-6.943,-7.699,4.983,54.881,14.675,18.549,,,4.91,65.731,5.806,6.303,7.756,0.725,4.313,5.186,,0.0,,0.0,-9.551,-1.117,4.561,5.911,1901.87,21309.978,2671.392,,25883.24,2116.814,185.633,2311.713,0.0,0.0,194.9,2497.347
Italy,1973,,104.231,8.728,114.911,0.0,0.0,10.681,123.639,44.51,1484.559,1608.198,1529.069,6.848,10.649,79.592,,0.205,2.454,2.705,0.0,0.0,0.251,97.089,2.911,6.511,10.125,75.676,,0.543,6.481,7.145,0.0,0.0,0.664,92.312,7.688,1.465,1.512,5.256,60.768,12.34,17.887,,,5.708,80.167,-9.251,-10.625,-13.348,-1.344,-8.387,-10.519,,0.0,,0.0,0.998,0.106,-8.755,-11.864,1916.998,22281.898,2981.246,,27180.142,1908.314,159.793,2103.859,0.0,0.0,195.546,2263.653
Italy,1974,,104.986,9.472,116.778,0.0,0.0,11.792,126.25,45.45,1481.235,1607.485,1526.685,7.469,11.996,77.559,,0.223,2.476,2.754,0.0,0.0,0.278,97.023,2.977,7.093,11.393,73.66,,0.589,6.531,7.265,0.0,0.0,0.734,92.146,7.854,8.897,9.316,-2.707,-32.941,12.468,20.302,,,-0.224,-3.324,0.725,0.756,8.53,0.744,1.624,1.867,,0.0,,0.0,10.403,1.111,2.112,2.611,2074.694,21545.241,3332.292,,26952.226,1910.306,172.355,2124.865,0.0,0.0,214.559,2297.219
Italy,1975,,113.947,10.556,125.02,0.0,0.0,11.072,135.575,48.807,1437.43,1573.005,1486.237,7.692,14.199,74.825,,0.256,2.76,3.028,0.0,0.0,0.268,96.716,3.284,7.268,13.416,70.697,,0.671,7.244,7.948,0.0,0.0,0.704,91.381,8.619,0.265,0.302,-6.081,-72.004,15.233,27.897,,,-2.957,-43.805,8.536,8.961,11.437,1.083,7.058,8.242,,0.0,,0.0,-6.101,-0.719,7.386,9.325,2068.622,20122.484,3818.526,,26009.633,2061.825,190.998,2262.172,0.0,0.0,200.347,2453.17
