city,date,lat,lon,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,wind_speed_10m_ms,wind_dir_10m_deg,shortwave_kwh_m2_day,relative_humidity_pct,surface_pressure_kpa
Torino,2015-01-01,45.0703,7.6869,0.44,4.81,-4.63,0.0,1.9,282.8,1.8847,69.11,94.88
Torino,2015-01-02,45.0703,7.6869,3.87,9.18,0.35,0.14,3.03,285.4,1.4815,70.11,94.66
Torino,2015-01-03,45.0703,7.6869,5.26,11.09,2.16,0.87,3.34,275.6,1.3442,77.31,94.07
Torino,2015-01-04,45.0703,7.6869,4.78,11.9,-0.53,0.83,4.55,293.7,1.4249,67.44,94.13
Torino,2015-01-05,45.0703,7.6869,2.96,8.9,-0.02,0.01,2.58,285.8,1.938,50.95,94.46
Torino,2015-01-06,45.0703,7.6869,3.52,9.68,0.51,0.0,2.01,315.7,1.9534,51.91,94.03
Torino,2015-01-07,45.0703,7.6869,1.96,6.18,-0.34,0.03,1.35,293.4,1.9764,64.54,94.43
Torino,2015-01-08,45.0703,7.6869,1.85,7.7,-1.2,0.01,2.03,282.4,1.9874,69.57,94.69
Torino,2015-01-09,45.0703,7.6869,4.98,12.26,-0.06,0.12,3.52,269.7,1.2725,71.8,94.57
Torino,2015-01-10,45.0703,7.6869,8.74,15.66,5.62,0.92,4.44,266.9,1.6308,79.39,93.84
Torino,2015-01-11,45.0703,7.6869,4.31,9.92,-1.83,0.98,5.22,290.1,1.4141,66.5,93.58
Torino,2015-01-12,45.0703,7.6869,2.25,9.49,-1.93,0.0,3.33,269.2,1.9152,58.78,94.37
Torino,2015-01-13,45.0703,7.6869,2.07,6.52,0.03,0.11,1.57,325.3,1.5463,68.2,94.08
Torino,2015-01-14,45.0703,7.6869,2.87,9.04,-0.22,1.17,1.85,282.5,1.4472,71.55,93.61
Torino,2015-01-15,45.0703,7.6869,2.42,6.76,-0.19,0.23,1.84,2.1,1.8502,76.28,93.49
Torino,2015-01-16,45.0703,7.6869,1.6,3.61,0.69,9.29,2.28,2.8,0.2374,96.33,93.0
Torino,2015-01-17,45.0703,7.6869,1.79,5.31,-3.02,2.06,2.5,293.2,0.8585,76.84,92.78
Torino,2015-01-18,45.0703,7.6869,-0.41,5.07,-4.15,0.05,2.42,331.1,1.9615,73.39,93.19
Torino,2015-01-19,45.0703,7.6869,-0.24,3.02,-1.94,0.24,1.56,353.1,0.9794,86.56,92.96
Torino,2015-01-20,45.0703,7.6869,-0.25,2.97,-2.31,0.25,1.77,4.4,1.087,92.7,92.74
Torino,2015-01-21,45.0703,7.6869,-0.89,1.23,-2.41,5.79,2.46,351.1,1.0334,90.19,92.67
Torino,2015-01-22,45.0703,7.6869,0.51,3.97,-1.4,1.66,2.11,344.0,1.3582,89.81,92.78
Torino,2015-01-23,45.0703,7.6869,2.38,9.2,-1.75,0.0,2.8,300.2,1.6116,65.3,92.8
Torino,2015-01-24,45.0703,7.6869,1.34,8.69,-3.09,0.05,3.36,301.4,1.4287,63.16,92.99
Torino,2015-01-25,45.0703,7.6869,-0.25,5.42,-4.07,0.03,2.9,326.6,1.7856,54.7,93.62
Torino,2015-01-26,45.0703,7.6869,0.66,4.81,-1.72,0.52,1.36,253.0,0.9929,55.08,93.87
Torino,2015-01-27,45.0703,7.6869,0.75,6.04,-3.12,0.28,2.46,286.7,1.3471,68.53,93.38
Torino,2015-01-28,45.0703,7.6869,0.24,6.48,-4.12,0.39,2.2,266.6,1.9246,61.98,93.2
Torino,2015-01-29,45.0703,7.6869,0.51,4.48,-2.76,4.89,1.32,310.7,1.0958,79.01,91.41
Torino,2015-01-30,45.0703,7.6869,-1.72,2.68,-4.1,2.41,5.17,286.9,0.9857,67.06,89.83
Torino,2015-01-31,45.0703,7.6869,-1.62,3.28,-5.86,1.18,2.15,306.5,1.5396,69.17,90.32
Torino,2015-02-01,45.0703,7.6869,-1.88,4.37,-6.1,0.8,3.67,293.8,1.1808,66.34,91.02
Torino,2015-02-02,45.0703,7.6869,-1.85,4.27,-5.64,0.25,3.39,291.2,1.9586,62.77,91.8
Torino,2015-02-03,45.0703,7.6869,-2.42,0.59,-5.44,0.62,2.62,1.5,1.3699,80.49,91.79
Torino,2015-02-04,45.0703,7.6869,-1.28,0.64,-3.23,7.28,2.59,343.7,1.0882,87.41,92.03
Torino,2015-02-05,45.0703,7.6869,-1.46,-0.18,-3.29,14.51,2.88,353.8,0.6199,94.87,92.09
Torino,2015-02-06,45.0703,7.6869,-0.1,1.87,-2.35,12.11,2.35,332.7,0.9684,93.07,92.53
Torino,2015-02-07,45.0703,7.6869,-2.55,1.25,-6.13,0.67,2.24,301.9,1.7484,80.46,93.61
Torino,2015-02-08,45.0703,7.6869,-0.12,5.86,-4.68,0.0,2.2,299.9,2.5159,54.96,93.28
Torino,2015-02-09,45.0703,7.6869,0.88,7.06,-6.73,0.01,2.24,262.8,3.1874,55.96,93.9
Torino,2015-02-10,45.0703,7.6869,4.93,10.97,1.64,0.0,1.97,307.6,3.3108,50.35,93.92
Torino,2015-02-11,45.0703,7.6869,4.25,9.27,0.91,0.01,1.58,330.0,3.3134,55.29,94.1
Torino,2015-02-12,45.0703,7.6869,3.05,7.19,0.76,0.0,1.8,20.5,3.3862,71.2,94.03
Torino,2015-02-13,45.0703,7.6869,2.05,5.24,0.44,0.92,1.66,43.5,2.1773,89.77,93.82
Torino,2015-02-14,45.0703,7.6869,-0.05,2.01,-1.42,7.38,2.13,22.2,1.3106,95.61,93.19
Torino,2015-02-15,45.0703,7.6869,0.56,3.61,-1.49,3.25,1.89,19.3,1.7014,88.64,92.91
Torino,2015-02-16,45.0703,7.6869,1.84,4.8,-0.08,12.45,3.1,3.4,2.2051,91.44,93.58
Torino,2015-02-17,45.0703,7.6869,3.98,8.27,0.72,0.81,1.64,350.0,2.8747,82.89,94.41
Torino,2015-02-18,45.0703,7.6869,2.01,5.4,-1.81,0.04,2.07,357.8,3.2114,83.21,95.08
Torino,2015-02-19,45.0703,7.6869,3.11,9.06,-1.09,0.0,1.61,299.1,3.6408,56.21,94.65
Torino,2015-02-20,45.0703,7.6869,2.65,7.7,-1.07,0.16,1.81,8.5,3.7512,70.39,93.78
Torino,2015-02-21,45.0703,7.6869,0.53,2.03,-0.27,11.91,2.82,15.5,1.0649,94.06,92.27
Torino,2015-02-22,45.0703,7.6869,2.37,7.82,-2.57,4.28,2.39,333.3,2.183,69.76,91.98
Torino,2015-02-23,45.0703,7.6869,2.48,7.81,-2.56,0.2,1.61,290.0,1.2499,62.99,92.19
Torino,2015-02-24,45.0703,7.6869,2.28,4.89,0.47,0.73,3.03,322.7,1.621,68.38,92.24
Torino,2015-02-25,45.0703,7.6869,2.26,8.74,-3.14,0.02,3.3,324.6,3.4728,60.59,93.0
Torino,2015-02-26,45.0703,7.6869,2.9,8.1,-2.43,0.01,1.71,301.6,3.5275,50.45,93.38
Torino,2015-02-27,45.0703,7.6869,2.88,6.73,0.87,0.47,1.47,296.2,1.8773,69.21,92.97
Torino,2015-02-28,45.0703,7.6869,4.16,8.87,0.71,0.07,1.95,10.9,2.0755,68.03,93.37
Torino,2015-03-01,45.0703,7.6869,6.3,13.22,1.2,1.43,1.72,225.3,2.1631,73.12,93.16
Torino,2015-03-02,45.0703,7.6869,7.17,14.6,1.86,4.12,3.14,278.3,1.5058,71.64,92.9
Torino,2015-03-03,45.0703,7.6869,5.79,12.43,0.69,0.08,1.77,293.9,3.0396,61.44,93.74
Torino,2015-03-04,45.0703,7.6869,4.44,9.19,0.73,0.55,2.35,343.6,1.9867,69.44,93.66
Torino,2015-03-05,45.0703,7.6869,2.75,8.14,-2.35,0.0,4.42,12.3,4.6123,47.65,94.22
Torino,2015-03-06,45.0703,7.6869,5.19,10.9,0.12,0.0,1.14,265.5,4.5881,46.02,94.69
Torino,2015-03-07,45.0703,7.6869,4.69,9.69,0.72,0.0,1.0,287.5,3.4735,54.96,94.75
Torino,2015-03-08,45.0703,7.6869,5.69,9.58,1.94,0.0,1.22,249.8,4.3018,52.09,94.4
Torino,2015-03-09,45.0703,7.6869,6.37,11.07,3.68,0.0,0.92,282.5,4.4873,59.76,94.24
Torino,2015-03-10,45.0703,7.6869,8.37,14.44,3.15,0.0,1.45,283.5,3.7061,57.73,94.12
Torino,2015-03-11,45.0703,7.6869,8.87,17.03,2.7,0.0,2.49,298.3,4.2415,55.0,93.77
Torino,2015-03-12,45.0703,7.6869,6.29,11.18,2.79,0.0,1.65,61.8,4.3694,58.14,93.94
Torino,2015-03-13,45.0703,7.6869,6.04,12.32,-0.83,0.03,1.75,338.9,4.1419,64.5,93.5
Torino,2015-03-14,45.0703,7.6869,4.05,6.53,2.43,1.36,2.14,29.4,2.4866,89.67,93.68
Torino,2015-03-15,45.0703,7.6869,2.24,3.5,0.64,13.92,5.16,22.4,1.8161,94.68,93.96
Torino,2015-03-16,45.0703,7.6869,1.62,2.87,0.29,10.95,3.68,5.7,2.5687,96.25,94.13
Torino,2015-03-17,45.0703,7.6869,3.14,4.45,1.7,6.82,3.02,346.0,2.3635,91.74,94.34
Torino,2015-03-18,45.0703,7.6869,7.59,13.49,1.86,0.01,1.47,315.5,5.0006,70.1,94.12
Torino,2015-03-19,45.0703,7.6869,8.43,13.67,3.3,0.01,1.68,4.7,4.8295,72.07,93.94
Torino,2015-03-20,45.0703,7.6869,7.51,11.01,4.55,0.11,1.61,28.2,3.3046,78.0,93.98
Torino,2015-03-21,45.0703,7.6869,6.55,10.22,4.18,2.67,1.69,122.9,1.6637,83.47,93.46
Torino,2015-03-22,45.0703,7.6869,3.03,4.57,0.92,10.35,2.4,24.3,1.5307,94.89,93.27
Torino,2015-03-23,45.0703,7.6869,6.12,10.77,0.91,0.15,1.81,7.1,4.0409,78.13,93.36
Torino,2015-03-24,45.0703,7.6869,5.87,8.75,3.09,4.71,2.71,19.2,2.8817,88.77,92.91
Torino,2015-03-25,45.0703,7.6869,5.09,7.25,3.09,17.39,3.28,350.2,1.5149,89.1,92.13
Torino,2015-03-26,45.0703,7.6869,9.14,14.18,3.56,0.34,1.6,332.3,2.8234,69.36,92.31
Torino,2015-03-27,45.0703,7.6869,6.53,14.14,0.95,0.15,4.85,304.8,4.153,62.38,93.04
Torino,2015-03-28,45.0703,7.6869,8.71,17.19,0.33,0.14,2.53,285.4,3.9266,59.12,93.43
Torino,2015-03-29,45.0703,7.6869,9.99,18.18,3.16,1.62,3.37,283.2,3.2465,67.34,92.93
Torino,2015-03-30,45.0703,7.6869,10.44,16.48,5.38,5.02,5.49,289.2,2.1818,65.12,92.52
Torino,2015-03-31,45.0703,7.6869,10.79,17.63,4.36,1.96,5.93,281.1,3.6072,62.97,92.79
Torino,2015-04-01,45.0703,7.6869,6.27,12.38,0.94,0.2,5.46,300.8,3.917,56.05,93.36
Torino,2015-04-02,45.0703,7.6869,7.62,15.59,0.48,0.2,4.13,289.6,3.701,62.24,93.34
Torino,2015-04-03,45.0703,7.6869,7.77,12.75,3.42,0.2,2.22,64.3,3.4682,67.83,93.42
Torino,2015-04-04,45.0703,7.6869,6.6,12.06,2.98,1.74,1.48,69.2,2.7161,83.83,92.75
Torino,2015-04-05,45.0703,7.6869,3.75,5.74,0.78,5.11,2.2,53.2,2.3791,87.44,93.08
Torino,2015-04-06,45.0703,7.6869,4.62,10.84,-0.98,0.15,2.25,79.8,5.1629,60.59,93.88
Torino,2015-04-07,45.0703,7.6869,6.03,11.24,0.33,0.0,1.75,7.1,6.1726,43.78,94.64
Torino,2015-04-08,45.0703,7.6869,10.77,17.68,3.59,0.0,1.67,359.0,6.1114,41.53,94.47
Torino,2015-04-09,45.0703,7.6869,11.35,16.88,6.13,0.0,2.38,64.3,6.3185,57.28,94.54
Torino,2015-04-10,45.0703,7.6869,10.91,16.54,6.01,0.0,2.52,55.7,5.3743,72.61,94.31
Torino,2015-04-11,45.0703,7.6869,11.04,16.39,5.48,0.01,2.03,30.3,4.607,68.07,94.2
Torino,2015-04-12,45.0703,7.6869,12.31,17.2,5.3,0.02,2.43,57.6,6.2438,68.81,94.63
Torino,2015-04-13,45.0703,7.6869,15.6,21.76,9.48,0.0,1.82,300.8,6.7063,55.97,94.51
Torino,2015-04-14,45.0703,7.6869,15.07,21.28,7.24,0.0,2.29,304.5,6.0826,51.97,94.37
Torino,2015-04-15,45.0703,7.6869,14.99,20.29,10.14,0.0,2.2,61.5,6.281,54.58,94.01
Torino,2015-04-16,45.0703,7.6869,13.57,18.65,9.22,0.31,1.44,358.5,2.8536,68.05,93.58
Torino,2015-04-17,45.0703,7.6869,11.29,14.7,8.63,6.27,1.84,75.8,2.4713,83.11,93.27
Torino,2015-04-18,45.0703,7.6869,11.87,18.52,4.13,5.18,3.82,38.1,4.3118,74.03,93.23
Torino,2015-04-19,45.0703,7.6869,5.75,8.2,3.56,1.76,2.53,34.7,4.2079,79.53,93.81
Torino,2015-04-20,45.0703,7.6869,11.05,16.3,4.39,0.0,1.59,262.3,6.6866,56.5,93.84
Torino,2015-04-21,45.0703,7.6869,14.46,19.86,7.62,0.0,2.15,94.2,6.907,52.77,94.19
Torino,2015-04-22,45.0703,7.6869,16.05,21.67,10.01,0.0,2.15,84.7,6.8542,57.08,93.92
Torino,2015-04-23,45.0703,7.6869,13.93,18.11,10.19,0.28,1.84,276.8,6.001,70.33,93.28
Torino,2015-04-24,45.0703,7.6869,13.19,18.82,6.33,0.02,2.68,105.6,6.8434,71.18,93.32
Torino,2015-04-25,45.0703,7.6869,11.25,14.54,9.03,2.16,1.71,52.1,2.5558,89.18,93.4
Torino,2015-04-26,45.0703,7.6869,11.37,14.9,7.2,6.5,2.08,79.2,3.079,85.62,93.02
Torino,2015-04-27,45.0703,7.6869,10.48,12.17,9.02,19.22,2.8,60.9,2.8265,94.67,92.27
Torino,2015-04-28,45.0703,7.6869,11.0,17.52,4.2,0.49,3.66,316.8,4.085,64.33,92.7
Torino,2015-04-29,45.0703,7.6869,9.71,12.93,4.38,2.64,2.28,23.7,5.1564,73.47,93.47
Torino,2015-04-30,45.0703,7.6869,11.68,18.2,4.8,0.73,1.87,129.1,6.2441,69.68,93.32
Torino,2015-05-01,45.0703,7.6869,12.9,17.93,8.08,11.83,1.0,220.9,2.2344,80.59,92.8
Torino,2015-05-02,45.0703,7.6869,15.13,21.78,8.6,1.66,1.47,241.6,5.057,72.16,92.85
Torino,2015-05-03,45.0703,7.6869,14.62,18.53,10.63,4.61,1.85,83.3,1.7988,86.4,93.09
Torino,2015-05-04,45.0703,7.6869,15.56,20.94,10.8,0.86,1.94,65.3,2.4523,84.4,93.28
Torino,2015-05-05,45.0703,7.6869,15.61,20.21,11.73,0.49,2.58,52.0,1.7448,85.77,93.23
Torino,2015-05-06,45.0703,7.6869,16.89,23.38,10.42,0.13,1.51,304.4,5.7017,69.19,93.15
Torino,2015-05-07,45.0703,7.6869,15.13,20.6,7.47,0.03,2.97,28.7,6.4687,68.21,93.52
Torino,2015-05-08,45.0703,7.6869,15.56,21.02,11.06,1.66,1.7,28.0,4.0327,70.11,93.45
Torino,2015-05-09,45.0703,7.6869,16.32,22.85,9.22,0.02,2.27,295.2,5.8255,60.85,93.71
Torino,2015-05-10,45.0703,7.6869,16.68,22.84,8.42,0.0,2.41,109.9,7.3903,55.63,94.25
Torino,2015-05-11,45.0703,7.6869,18.73,23.39,13.42,0.0,2.16,90.7,6.8774,59.32,94.29
Torino,2015-05-12,45.0703,7.6869,18.74,23.08,13.33,0.0,2.43,79.8,6.6286,68.03,94.24
Torino,2015-05-13,45.0703,7.6869,20.83,27.18,14.43,0.01,1.91,242.2,6.1135,58.18,93.65
Torino,2015-05-14,45.0703,7.6869,20.53,27.7,13.9,0.65,2.11,264.0,6.2455,62.13,92.75
Torino,2015-05-15,45.0703,7.6869,12.11,14.69,8.12,13.68,3.38,5.7,2.2826,79.27,92.44
Torino,2015-05-16,45.0703,7.6869,15.61,21.54,8.33,2.81,2.38,17.8,5.2896,75.63,93.74
Torino,2015-05-17,45.0703,7.6869,17.75,22.26,10.83,0.01,2.21,66.2,6.2666,62.86,93.83
Torino,2015-05-18,45.0703,7.6869,17.7,21.85,12.95,0.5,2.22,73.3,6.8242,75.36,93.2
Torino,2015-05-19,45.0703,7.6869,16.05,21.03,11.66,5.4,1.92,24.0,3.5465,76.53,92.65
Torino,2015-05-20,45.0703,7.6869,12.8,19.78,7.68,7.26,2.4,342.9,4.3973,65.44,92.72
Torino,2015-05-21,45.0703,7.6869,10.54,15.83,6.41,5.63,4.66,13.6,4.2043,63.08,93.29
Torino,2015-05-22,45.0703,7.6869,13.32,18.7,7.13,0.03,1.95,51.3,5.6484,57.56,93.48
Torino,2015-05-23,45.0703,7.6869,13.11,17.96,8.86,0.41,1.66,115.6,4.1827,68.68,93.15
Torino,2015-05-24,45.0703,7.6869,14.0,18.46,7.87,0.58,2.0,122.2,4.2098,72.21,93.37
Torino,2015-05-25,45.0703,7.6869,16.11,20.62,11.92,0.96,1.73,160.3,4.1527,69.37,93.09
Torino,2015-05-26,45.0703,7.6869,14.98,19.51,9.09,1.7,2.56,34.7,5.1238,68.73,93.02
Torino,2015-05-27,45.0703,7.6869,15.05,19.54,8.96,0.0,2.3,109.3,7.7225,55.5,93.49
Torino,2015-05-28,45.0703,7.6869,15.95,20.62,10.48,0.0,2.38,88.2,8.0906,61.21,93.57
Torino,2015-05-29,45.0703,7.6869,16.27,21.21,11.58,0.35,2.34,105.1,7.8067,66.3,93.35
Torino,2015-05-30,45.0703,7.6869,16.98,22.13,11.43,0.93,1.88,119.6,6.4116,70.1,93.33
Torino,2015-05-31,45.0703,7.6869,16.69,20.49,13.03,1.06,2.02,87.6,6.2779,74.67,93.56
Torino,2015-06-01,45.0703,7.6869,17.41,20.38,14.02,7.75,1.87,120.3,6.1346,74.43,93.67
Torino,2015-06-02,45.0703,7.6869,19.22,23.61,13.47,0.15,1.95,126.7,6.653,68.51,93.86
Torino,2015-06-03,45.0703,7.6869,21.53,25.11,17.23,0.06,1.9,124.8,7.4952,65.92,94.12
Torino,2015-06-04,45.0703,7.6869,22.85,26.41,18.41,0.01,1.63,64.5,7.0814,62.73,94.22
Torino,2015-06-05,45.0703,7.6869,22.99,26.06,19.01,0.15,1.42,31.0,7.0037,64.85,94.12
Torino,2015-06-06,45.0703,7.6869,23.57,27.47,18.61,1.46,1.66,49.4,7.2514,66.79,94.13
Torino,2015-06-07,45.0703,7.6869,22.76,26.3,19.21,10.38,1.6,14.9,6.419,68.05,94.12
Torino,2015-06-08,45.0703,7.6869,19.51,22.53,16.2,4.46,1.88,4.0,5.4809,76.41,93.76
Torino,2015-06-09,45.0703,7.6869,17.85,20.08,15.32,8.15,2.18,58.0,5.1182,82.17,93.53
Torino,2015-06-10,45.0703,7.6869,17.57,20.24,13.99,1.22,1.96,28.4,4.5516,80.69,93.85
Torino,2015-06-11,45.0703,7.6869,19.46,22.78,14.72,0.96,1.77,58.8,6.7613,72.0,93.71
Torino,2015-06-12,45.0703,7.6869,17.69,21.0,14.3,8.02,2.62,55.7,3.1618,84.7,93.48
Torino,2015-06-13,45.0703,7.6869,17.13,21.29,14.57,15.24,2.31,66.1,6.1706,89.93,93.36
Torino,2015-06-14,45.0703,7.6869,16.53,19.79,13.02,2.91,1.79,34.8,3.2083,82.21,93.06
Torino,2015-06-15,45.0703,7.6869,17.46,21.74,12.1,8.0,1.94,49.4,5.0566,74.34,93.24
Torino,2015-06-16,45.0703,7.6869,16.75,20.61,13.49,8.23,1.94,25.4,3.7634,78.84,93.42
Torino,2015-06-17,45.0703,7.6869,18.18,21.99,13.02,0.2,2.42,98.1,6.427,70.47,93.59
Torino,2015-06-18,45.0703,7.6869,19.89,24.51,15.14,0.17,2.11,105.2,7.0006,65.21,93.48
Torino,2015-06-19,45.0703,7.6869,19.84,25.06,13.56,0.56,2.01,356.3,6.2861,65.71,93.12
Torino,2015-06-20,45.0703,7.6869,17.49,23.52,10.74,0.05,1.79,313.1,6.8412,60.52,93.39
Torino,2015-06-21,45.0703,7.6869,17.72,23.37,10.03,0.0,2.12,118.5,6.9108,61.91,93.57
Torino,2015-06-22,45.0703,7.6869,18.86,23.56,13.73,0.22,2.15,104.2,6.9089,65.63,93.31
Torino,2015-06-23,45.0703,7.6869,19.41,25.17,12.31,0.47,2.15,316.4,5.6549,57.1,92.87
Torino,2015-06-24,45.0703,7.6869,15.75,21.36,9.25,0.01,2.76,70.6,8.3174,67.76,93.82
Torino,2015-06-25,45.0703,7.6869,18.25,22.99,12.84,0.0,2.21,95.0,7.5557,65.5,94.02
Torino,2015-06-26,45.0703,7.6869,20.38,25.06,14.99,0.0,2.08,113.3,7.8696,59.69,93.88
Torino,2015-06-27,45.0703,7.6869,21.89,27.05,15.75,0.04,1.49,330.5,7.0625,59.78,93.63
Torino,2015-06-28,45.0703,7.6869,21.49,26.66,14.84,0.0,2.37,90.5,8.3054,61.0,93.76
Torino,2015-06-29,45.0703,7.6869,22.0,25.63,17.14,0.01,2.37,83.4,7.2598,64.41,93.99
Torino,2015-06-30,45.0703,7.6869,21.86,25.33,17.85,0.02,2.19,80.1,7.7484,72.86,94.04
Torino,2015-07-01,45.0703,7.6869,23.09,27.29,18.43,0.04,2.07,75.1,7.6404,73.5,94.07
Torino,2015-07-02,45.0703,7.6869,24.93,29.39,19.02,0.07,1.73,108.1,7.6932,68.84,94.22
Torino,2015-07-03,45.0703,7.6869,25.46,28.95,21.72,1.43,1.48,80.5,6.6612,67.12,94.43
Torino,2015-07-04,45.0703,7.6869,26.56,30.55,21.71,2.07,1.83,137.7,7.7249,63.96,94.21
Torino,2015-07-05,45.0703,7.6869,25.14,27.81,22.62,0.21,1.69,88.9,7.0507,67.91,93.97
Torino,2015-07-06,45.0703,7.6869,26.87,31.65,22.23,0.19,1.4,76.6,6.8923,61.18,93.85
Torino,2015-07-07,45.0703,7.6869,26.3,29.99,22.52,0.16,1.47,85.0,6.7015,64.4,93.62
Torino,2015-07-08,45.0703,7.6869,24.62,31.35,15.55,0.04,2.68,307.2,7.026,52.72,93.0
Torino,2015-07-09,45.0703,7.6869,21.41,26.87,13.68,0.01,3.49,37.9,8.5046,55.96,93.38
Torino,2015-07-10,45.0703,7.6869,21.07,25.28,15.86,0.0,2.45,75.6,7.8478,62.92,93.88
Torino,2015-07-11,45.0703,7.6869,23.88,29.65,17.51,0.0,1.55,62.0,8.1497,57.34,93.74
Torino,2015-07-12,45.0703,7.6869,23.71,28.94,17.28,0.09,2.72,33.6,7.8662,63.02,93.61
Torino,2015-07-13,45.0703,7.6869,24.65,30.69,16.77,0.0,2.52,338.2,7.3574,53.3,93.44
Torino,2015-07-14,45.0703,7.6869,24.99,30.51,17.51,0.0,2.6,63.0,8.1065,57.07,93.64
Torino,2015-07-15,45.0703,7.6869,25.06,29.62,19.95,0.33,2.02,51.4,7.4354,65.64,93.72
Torino,2015-07-16,45.0703,7.6869,24.98,28.94,20.3,0.42,1.94,46.9,6.9617,69.95,93.81
Torino,2015-07-17,45.0703,7.6869,24.93,29.14,21.28,1.83,1.82,49.1,6.1654,70.08,93.87
Torino,2015-07-18,45.0703,7.6869,26.13,31.41,20.34,1.43,1.65,104.1,5.1751,57.95,93.74
Torino,2015-07-19,45.0703,7.6869,26.06,31.72,19.93,0.26,1.93,31.5,6.4514,56.88,93.4
Torino,2015-07-20,45.0703,7.6869,25.67,29.07,20.98,0.65,1.8,40.4,7.0078,62.1,93.38
Torino,2015-07-21,45.0703,7.6869,26.9,31.04,22.57,0.24,1.76,64.5,7.4395,58.28,93.57
Torino,2015-07-22,45.0703,7.6869,26.93,30.91,22.38,2.94,1.43,57.3,5.8008,59.56,93.46
Torino,2015-07-23,45.0703,7.6869,24.89,28.46,20.72,3.23,1.43,7.5,5.8265,62.29,93.23
Torino,2015-07-24,45.0703,7.6869,24.17,28.27,20.01,5.3,1.85,65.3,6.1874,67.85,93.03
Torino,2015-07-25,45.0703,7.6869,23.17,29.85,14.67,1.06,2.01,325.2,6.7754,53.88,92.93
Torino,2015-07-26,45.0703,7.6869,20.48,25.38,13.37,0.13,2.44,34.5,5.5692,54.53,93.09
Torino,2015-07-27,45.0703,7.6869,22.37,30.51,15.76,0.41,2.47,296.2,7.704,47.41,92.69
Torino,2015-07-28,45.0703,7.6869,22.15,29.51,14.0,0.0,3.01,40.7,7.5146,51.61,92.79
Torino,2015-07-29,45.0703,7.6869,23.38,30.87,15.25,1.06,2.18,277.0,3.0674,52.81,92.77
Torino,2015-07-30,45.0703,7.6869,21.44,27.53,14.9,0.32,2.84,45.5,6.2306,52.87,92.99
Torino,2015-07-31,45.0703,7.6869,17.84,20.73,15.94,4.71,2.94,30.6,5.6918,78.16,93.39
Torino,2015-08-01,45.0703,7.6869,15.75,18.18,13.62,9.46,2.32,34.7,1.9159,86.65,93.54
Torino,2015-08-02,45.0703,7.6869,20.5,25.86,14.66,0.01,2.04,79.3,7.3433,65.35,93.67
Torino,2015-08-03,45.0703,7.6869,23.18,28.79,17.08,0.0,2.14,87.1,7.8235,59.92,93.72
Torino,2015-08-04,45.0703,7.6869,23.35,28.48,19.14,1.28,1.72,61.3,4.5948,66.31,93.57
Torino,2015-08-05,45.0703,7.6869,24.61,28.51,20.63,0.18,2.07,64.7,7.2574,63.78,93.67
Torino,2015-08-06,45.0703,7.6869,26.15,30.42,21.84,0.18,1.6,77.1,6.3533,61.7,93.74
Torino,2015-08-07,45.0703,7.6869,27.13,31.78,21.98,0.21,1.72,60.4,7.145,54.66,93.78
Torino,2015-08-08,45.0703,7.6869,26.67,31.57,22.5,1.09,1.76,38.8,5.6141,55.69,93.81
Torino,2015-08-09,45.0703,7.6869,21.78,23.84,18.38,14.17,2.21,22.7,2.4797,76.64,93.63
Torino,2015-08-10,45.0703,7.6869,18.97,21.64,17.18,13.6,2.16,5.7,3.2952,87.39,93.47
Torino,2015-08-11,45.0703,7.6869,22.62,27.85,16.37,0.03,1.85,14.4,6.7838,60.61,93.57
Torino,2015-08-12,45.0703,7.6869,25.19,30.14,19.2,0.02,1.7,127.9,6.6938,50.56,93.82
Torino,2015-08-13,45.0703,7.6869,24.1,29.12,19.18,1.53,2.14,33.7,4.8134,59.77,93.55
Torino,2015-08-14,45.0703,7.6869,19.2,22.13,16.68,13.85,2.19,27.6,2.9446,79.69,93.11
Torino,2015-08-15,45.0703,7.6869,16.45,20.78,12.19,23.72,1.97,313.8,2.0237,81.58,92.87
Torino,2015-08-16,45.0703,7.6869,16.49,20.69,11.7,1.73,2.01,351.5,4.0198,72.53,92.92
Torino,2015-08-17,45.0703,7.6869,18.68,24.39,11.84,0.31,2.43,30.8,5.2118,65.29,92.88
Torino,2015-08-18,45.0703,7.6869,17.02,20.57,13.24,9.45,2.24,29.6,3.8918,80.05,93.16
Torino,2015-08-19,45.0703,7.6869,16.79,21.34,10.12,1.12,2.28,345.9,4.1748,66.4,93.41
Torino,2015-08-20,45.0703,7.6869,19.07,24.5,12.26,0.03,2.13,55.6,6.3766,56.6,93.85
Torino,2015-08-21,45.0703,7.6869,18.42,22.73,14.21,0.48,2.6,57.7,6.1205,70.87,94.07
Torino,2015-08-22,45.0703,7.6869,18.4,23.11,13.96,1.06,2.11,71.9,5.9573,77.02,93.76
Torino,2015-08-23,45.0703,7.6869,15.54,17.73,13.81,11.74,2.53,57.5,1.8802,92.25,93.29
Torino,2015-08-24,45.0703,7.6869,16.59,21.02,13.35,6.23,2.01,38.5,1.903,85.61,93.1
Torino,2015-08-25,45.0703,7.6869,17.85,23.63,10.7,0.01,2.6,28.6,6.4601,62.66,93.48
Torino,2015-08-26,45.0703,7.6869,19.4,24.11,14.19,0.0,2.17,59.9,6.5904,66.54,93.82
