time,time_label,geo,geo_label,unit,unit_label,siec,siec_label,nrg_bal,nrg_bal_label,freq,freq_label,OBS_VALUE
2022,2022,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,THS_T,Thousand tonnes,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,O4000,Oil and petroleum products,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,THS_T,Thousand tonnes,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,O4630,Liquefied petroleum gases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,THS_T,Thousand tonnes,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,O4669,Other kerosene,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,THS_T,Thousand tonnes,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,O4671,Gas oil and diesel oil,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,R5110-5150_W6000RI,Primary solid biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,R5300,Biogases,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2021,2021,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2022,2022,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2023,2023,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2024,2024,IT,Italy,TJ,Terajoule,RA000,Renewables and biofuels,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2010,2010,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2016,2016,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2017,2017,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2018,2018,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2019,2019,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
2020,2020,IT,Italy,TJ,Terajoule,RA410,Solar thermal,FC_OTH_HH_E_OE,Final consumption - other sectors - households - energy use - other end use,A,Annual,0.0
