id,dataSet,indicator,periodType,periodFrom,periodTo,operatorKey,tsoEicCode,operatorLabel,pointKey,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,interruptionType,restorationInformation,capacityType,capacityBookingStatus,isCamRelevant,isNA,originalPeriodFrom,isCmpRelevant,bookingPlatformKey,bookingPlatformLabel,bookingPlatformURL,interruptionCalculationRemark,isArchived
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001DIS-00005exitkWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",DIS-00005,"Distribution (IT)",21Y0000000000581,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,424395304,"2022-03-19 08:24",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001FNC-00005exitkWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",FNC-00005,"Industrial Consumers (IT)",21Y0000000000573,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,428905644,"2022-03-19 08:24",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001ITP-00008entrykWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00008,"Melendugno - IT / TAP",21Z000000000474A,entry,kWh/d,,,276397553,"2022-03-19 08:24",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001ITP-00040entrykWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00040,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,entry,kWh/d,,,580642640,"2022-03-19 08:24",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001ITP-00049exitkWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00049,"Gorizia (IT) /Šempeter (SI)",21Z000000000044Z,exit,kWh/d,,,0,"2022-03-19 08:24",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001ITP-00074entrykWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00074,Gela,21Z000000000149L,entry,kWh/d,,,76768664,"2022-03-19 08:24",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001ITP-00136entrykWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00136,"Griespass (CH) / Passo Gries (IT)",21Z0000000002107,entry,kWh/d,,,48409336,"2022-03-19 08:24",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001ITP-00278exitkWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00278,Bizzarone,21Z000000000277C,exit,kWh/d,,,2029389,"2022-03-19 08:24",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001LNG-00004entrykWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",LNG-00004,"OLT LNG / Livorno",21Z000000000275G,entry,kWh/d,,,0,"2022-03-19 08:24",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2021-10-012021-10-02IT-TSO-0001LNG-00015entrykWh/d",1,"Physical Flow",day,"2021-10-01 06:00","2021-10-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",LNG-00015,"Cavarzere (Porto Levante / Adriatic LNG)",21Z000000000142Z,entry,kWh/d,,,240911642,"2022-03-19 08:24",,Confirmed,,,,,,,,,,,,,
