ANNO,CODICE_MESE,NOME_MESE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,IVA,ACCISA,NETTO
1996,1,Gennaio,6,O.C. fluido BTZ,"382,44","61,06","158,05","163,34"
1996,2,Febbraio,6,O.C. fluido BTZ,"385,29","61,52","158,05","165,73"
1996,3,Marzo,6,O.C. fluido BTZ,"388,33",62,"158,05","168,28"
1996,4,Aprile,6,O.C. fluido BTZ,"394,71","63,02","143,03","188,66"
1996,5,Maggio,6,O.C. fluido BTZ,"397,91","63,53","143,03","191,34"
1996,6,Giugno,6,O.C. fluido BTZ,"389,31","62,16","143,03","184,11"
1996,7,Luglio,6,O.C. fluido BTZ,"390,86","62,41","143,03","185,42"
1996,8,Agosto,6,O.C. fluido BTZ,"394,76","63,03","143,03","188,7"
1996,9,Settembre,6,O.C. fluido BTZ,"401,42","64,09","143,03","194,3"
1996,10,Ottobre,6,O.C. fluido BTZ,"406,82","64,95","143,03","198,83"
1996,11,Novembre,6,O.C. fluido BTZ,"406,38","64,88","143,03","198,47"
1996,12,Dicembre,6,O.C. fluido BTZ,"405,64","64,77","143,03","197,84"
1997,1,Gennaio,6,O.C. fluido BTZ,"405,4","64,73","143,03","197,64"
1997,2,Febbraio,6,O.C. fluido BTZ,"403,54","64,43","143,03","196,07"
1997,3,Marzo,6,O.C. fluido BTZ,"399,87","63,85","143,03","192,99"
1997,4,Aprile,6,O.C. fluido BTZ,"393,32","62,8","143,03","187,49"
1997,5,Maggio,6,O.C. fluido BTZ,"390,31","62,32","143,03","184,96"
1997,6,Giugno,6,O.C. fluido BTZ,"391,11","62,45","143,03","185,63"
1997,7,Luglio,6,O.C. fluido BTZ,"388,91","62,1","143,03","183,78"
1997,8,Agosto,6,O.C. fluido BTZ,"395,17","63,09","143,03","189,05"
1997,9,Settembre,6,O.C. fluido BTZ,"394,71","63,02","143,03","188,66"
1997,10,Ottobre,6,O.C. fluido BTZ,"403,05","66,73","143,03","193,29"
1997,11,Novembre,6,O.C. fluido BTZ,"410,74","68,46","143,03","199,25"
1997,12,Dicembre,6,O.C. fluido BTZ,"407,23","67,87","143,03","196,33"
1998,1,Gennaio,6,O.C. fluido BTZ,"402,64","67,11","143,03","192,5"
1998,2,Febbraio,6,O.C. fluido BTZ,"396,29","66,05","143,03","187,21"
1998,3,Marzo,6,O.C. fluido BTZ,"390,51","65,08","143,03","182,39"
1998,4,Aprile,6,O.C. fluido BTZ,"388,53","64,76","143,03","180,74"
1998,5,Maggio,6,O.C. fluido BTZ,"383,26","63,88","143,03","176,35"
1998,6,Giugno,6,O.C. fluido BTZ,"374,33","62,39","143,03","168,91"
1998,7,Luglio,6,O.C. fluido BTZ,"372,63","62,1","143,03","167,49"
1998,8,Agosto,6,O.C. fluido BTZ,"368,35","61,39","143,03","163,93"
1998,9,Settembre,6,O.C. fluido BTZ,"368,94","61,49","143,03","164,42"
1998,10,Ottobre,6,O.C. fluido BTZ,"374,53","62,42","143,03","169,08"
1998,11,Novembre,6,O.C. fluido BTZ,"371,44","61,91","143,03","166,5"
1998,12,Dicembre,6,O.C. fluido BTZ,"368,32","61,39","143,03","163,9"
1999,1,Gennaio,6,O.C. fluido BTZ,"376,7","62,78","147,98","165,93"
