Country,ISO3 Code,Date,Price (EUR/MWhe)
Italy,ITA,2015-01-01,51.6
Italy,ITA,2015-02-01,54.52
Italy,ITA,2015-03-01,49.94
Italy,ITA,2015-04-01,47.85
Italy,ITA,2015-05-01,47.27
Italy,ITA,2015-06-01,48.64
Italy,ITA,2015-07-01,67.72
Italy,ITA,2015-08-01,52.74
Italy,ITA,2015-09-01,49.45
Italy,ITA,2015-10-01,47.79
Italy,ITA,2015-11-01,55.17
Italy,ITA,2015-12-01,55.76
Italy,ITA,2016-01-01,46.47
Italy,ITA,2016-02-01,36.98
Italy,ITA,2016-03-01,35.24
Italy,ITA,2016-04-01,31.88
Italy,ITA,2016-05-01,34.32
Italy,ITA,2016-06-01,36.31
Italy,ITA,2016-07-01,42.88
Italy,ITA,2016-08-01,37.16
Italy,ITA,2016-09-01,42.92
Italy,ITA,2016-10-01,53.05
Italy,ITA,2016-11-01,58.31
Italy,ITA,2016-12-01,56.36
Italy,ITA,2017-01-01,72.09
Italy,ITA,2017-02-01,55.48
Italy,ITA,2017-03-01,44.41
Italy,ITA,2017-04-01,42.88
Italy,ITA,2017-05-01,43.02
Italy,ITA,2017-06-01,48.84
Italy,ITA,2017-07-01,50.32
Italy,ITA,2017-08-01,55.79
Italy,ITA,2017-09-01,48.59
Italy,ITA,2017-10-01,54.69
Italy,ITA,2017-11-01,65.77
Italy,ITA,2017-12-01,65.08
Italy,ITA,2018-01-01,48.96
Italy,ITA,2018-02-01,57.05
Italy,ITA,2018-03-01,56.8
Italy,ITA,2018-04-01,49.42
Italy,ITA,2018-05-01,53.5
Italy,ITA,2018-06-01,57.27
Italy,ITA,2018-07-01,62.73
Italy,ITA,2018-08-01,67.54
Italy,ITA,2018-09-01,76.24
Italy,ITA,2018-10-01,73.94
Italy,ITA,2018-11-01,66.6
Italy,ITA,2018-12-01,65.08
Italy,ITA,2019-01-01,67.65
Italy,ITA,2019-02-01,57.64
Italy,ITA,2019-03-01,52.83
Italy,ITA,2019-04-01,53.4
Italy,ITA,2019-05-01,50.67
Italy,ITA,2019-06-01,48.59
Italy,ITA,2019-07-01,52.35
Italy,ITA,2019-08-01,49.63
Italy,ITA,2019-09-01,51.18
Italy,ITA,2019-10-01,52.85
Italy,ITA,2019-11-01,48.17
Italy,ITA,2019-12-01,43.34
Italy,ITA,2020-01-01,47.46
Italy,ITA,2020-02-01,39.27
Italy,ITA,2020-03-01,31.98
Italy,ITA,2020-04-01,24.8
Italy,ITA,2020-05-01,21.78
Italy,ITA,2020-06-01,28.06
Italy,ITA,2020-07-01,38.0
Italy,ITA,2020-08-01,40.31
Italy,ITA,2020-09-01,48.77
Italy,ITA,2020-10-01,43.55
Italy,ITA,2020-11-01,48.77
Italy,ITA,2020-12-01,54.08
Italy,ITA,2021-01-01,60.7
Italy,ITA,2021-02-01,56.57
Italy,ITA,2021-03-01,60.41
Italy,ITA,2021-04-01,69.07
Italy,ITA,2021-05-01,69.94
Italy,ITA,2021-06-01,84.88
Italy,ITA,2021-07-01,102.72
Italy,ITA,2021-08-01,112.66
Italy,ITA,2021-09-01,158.75
Italy,ITA,2021-10-01,217.66
Italy,ITA,2021-11-01,226.02
Italy,ITA,2021-12-01,280.97
Italy,ITA,2022-01-01,224.49
Italy,ITA,2022-02-01,211.75
Italy,ITA,2022-03-01,307.99
Italy,ITA,2022-04-01,245.78
Italy,ITA,2022-05-01,230.05
Italy,ITA,2022-06-01,271.58
Italy,ITA,2022-07-01,441.74
Italy,ITA,2022-08-01,543.48
Italy,ITA,2022-09-01,429.21
Italy,ITA,2022-10-01,211.26
Italy,ITA,2022-11-01,224.72
Italy,ITA,2022-12-01,294.81
Italy,ITA,2023-01-01,174.44
Italy,ITA,2023-02-01,161.03
Italy,ITA,2023-03-01,136.25
Italy,ITA,2023-04-01,134.92
Italy,ITA,2023-05-01,105.65
Italy,ITA,2023-06-01,105.39
Italy,ITA,2023-07-01,112.07
Italy,ITA,2023-08-01,111.97
Italy,ITA,2023-09-01,115.69
Italy,ITA,2023-10-01,134.21
Italy,ITA,2023-11-01,121.78
Italy,ITA,2023-12-01,115.45
Italy,ITA,2024-01-01,99.14
Italy,ITA,2024-02-01,87.61
Italy,ITA,2024-03-01,88.85
Italy,ITA,2024-04-01,86.77
Italy,ITA,2024-05-01,94.91
Italy,ITA,2024-06-01,103.16
Italy,ITA,2024-07-01,112.37
Italy,ITA,2024-08-01,128.47
Italy,ITA,2024-09-01,117.08
Italy,ITA,2024-10-01,116.71
