DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AD,TJ_GCV,IT,2021,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AD,TJ_GCV,IT,2022,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AD,TJ_GCV,IT,2023,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AD,TJ_GCV,IT,2024,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1990,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1991,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1992,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1993,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1994,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1995,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1996,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1997,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1998,116.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,1999,201.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2000,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2001,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2002,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2003,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2004,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2005,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2006,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2007,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2008,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2009,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2010,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2011,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2012,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2013,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2014,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2015,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2016,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2017,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2018,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2019,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2020,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2021,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2022,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2023,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,MIO_M3,IT,2024,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1990,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1991,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1992,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1993,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1994,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1995,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1996,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1997,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1998,4420.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,1999,7658.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2000,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2001,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2002,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2003,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2004,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2005,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2006,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2007,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2008,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2009,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2010,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2011,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2012,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2013,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2014,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2015,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2016,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2017,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2018,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2019,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2020,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2021,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2022,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2023,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AE,TJ_GCV,IT,2024,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1990,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1991,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1992,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1993,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1994,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1995,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1996,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1997,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1998,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,1999,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2000,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2001,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2002,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2003,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2004,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2005,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2006,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2007,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2008,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2009,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2010,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2011,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2012,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2013,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2014,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2015,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2016,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2017,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2018,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2019,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2020,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2021,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2022,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2023,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,MIO_M3,IT,2024,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1990,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1991,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1992,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1993,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1994,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1995,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1996,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1997,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1998,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,1999,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2000,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2001,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2002,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2003,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2004,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2005,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2006,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2007,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2008,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2009,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2010,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2011,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2012,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2013,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2014,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2015,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2016,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2017,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2018,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2019,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2020,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2021,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2022,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2023,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AFR_OTH,TJ_GCV,IT,2024,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1990,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1991,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1992,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1993,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1994,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1995,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1996,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1997,0.000,,
ESTAT:NRG_TI_GAS(1.0),24/06/26 11:00:00,A,G3000,AL,MIO_M3,IT,1998,0.000,,
